"STATION","NAME","DATE","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-17","0.00","0.0","0.0","  310","  310","15.0","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-18","0.00","0.0","0.0","  190","  190","21.0","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-19","0.00","0.0","0.0","  230","  170","16.1","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-20","0.00","0.0","0.0","  190","  190","30.0","36.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-21","0.07","0.0","0.0","  320","  330","35.1","40.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-22","0.00","0.0","0.0","  270","  270","30.0","38.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-23","0.00","0.0","0.0","  260","  280","28.0","36.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-24","0.00","0.0","0.0","  180","  180","23.0","27.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-25","0.50","0.0","0.0","  320","  320","25.1","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-26","0.00","0.0","0.0","  320","  320","30.0","36.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-27","0.00","0.0","0.0","  330","  330","19.9","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-28","0.00","0.0","0.0","   10","  360","23.0","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-29","0.10","0.0","0.0","  210","  230","21.9","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-30","0.02","0.0","0.0","  300","  310","40.9","51.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-01","0.00","0.0","0.0","  310","  320","36.9","46.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-02","0.00","0.0","0.0","  260","  260","21.9","27.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-03","0.23","0.0","0.0","   90","   60","14.1","17.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-04","0.52","0.0","0.0","  110","  100","21.9","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-05","0.31","0.0","0.0","  320","  320","28.0","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-06","0.00","0.0","0.0","  330","  320","25.1","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-07","0.00","0.0","0.0","  100","  110","17.0","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-08","0.04","0.0","0.0","  130","  110","17.0","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-09","0.42","0.0","0.0","  190","  190","21.0","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-10","0.01","0.0","0.0","  310","  340","18.1","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-11","0.00","0.0","0.0","  330","  330","28.0","35.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-12","0.00","0.0","0.0","  330","  320","25.1","32.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-13","0.00","0.0","0.0","  190","  190","18.1","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-14","0.00","0.0","0.0","  200","  200","19.9","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-15","0.00","0.0","0.0","  190","  190","17.0","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-16","0.00","0.0","0.0","  190","  190","17.0","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-17","0.00","0.0","0.0","  190","  190","21.0","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-18","0.00","0.0","0.0","  190","  190","21.0","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-19","0.00","0.0","0.0","   20","   30","17.0","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-20","0.00","0.0","0.0","  150","  160","14.1","17.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-21","0.00","0.0","0.0","  170","  180","16.1","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-22","0.00","0.0","0.0","  310","  290","21.0","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-23","0.00","0.0","0.0","  340","  330","25.9","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-24","0.00","0.0","0.0","  130","   50","19.9","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-25","0.00","0.0","0.0","  170","  180","23.9","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-26","0.07","0.0","0.0","  190","  180","25.1","32.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-27","0.04","0.0","0.0","  340","  290","21.0","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-28","1.08","0.0","0.0","   50","   60","25.9","34.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-29","0.86","0.0","0.0","   50","   50","31.1","40.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-30","0.94","0.0","0.0","   30","   40","21.0","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-31","0.00","0.0","0.0","  340","  340","21.0","27.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-01","0.00","0.0","0.0","  190","  190","21.9","27.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-02","0.00","0.0","0.0","  190","  190","19.9","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-03","0.23","0.0","0.0","  190","  190","18.1","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-04","0.39","0.0","0.0","  300","  280","21.9","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-05","0.00","0.0","0.0","  230","  230","19.9","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-06","0.00","0.0","0.0","  190","  190","21.0","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-07","0.00","0.0","0.0","  190","  200","14.1","17.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-08","0.57","0.0","0.0","  270","  270","30.0","35.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-09","0.00","0.0","0.0","  190","  190","17.0","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-10","0.00","0.0","0.0","   90","   90","23.9","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-11","0.00","0.0","0.0","  100","   70","14.1","17.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-12","0.00","0.0","0.0","  120","  120","17.0","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-13","0.00","0.0","0.0","  180","  190","16.1","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-14","0.06","0.0","0.0","  150","  160","17.0","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-15","0.07","0.0","0.0","  320","  310","21.9","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-16","0.00","0.0","0.0","  300","  300","23.0","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-17","0.00","0.0","0.0","  210","  200","19.9","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-18","0.00","0.0","0.0","  180","  190","23.9","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-19","0.05","0.0","0.0","  250","  240","23.0","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-20","0.00","0.0","0.0","  190","  190","25.1","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-21","0.00","0.0","0.0","  180","  180","25.9","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-22","0.20","0.0","0.0","  310","  320","21.0","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-23","0.00","0.0","0.0","  190","  330","18.1","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-24","0.00","0.0","0.0","  110","  100","17.0","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-25","0.00","0.0","0.0","  170","  170","18.1","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-26","0.00","0.0","0.0","  190","  180","25.1","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-27","0.00","0.0","0.0","  190","  180","25.9","34.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-28","0.00","0.0","0.0","  190","  180","25.1","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-29","0.00","0.0","0.0","  190","  190","23.9","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-30","0.00","0.0","0.0","  360","  360","25.9","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-01","0.54","0.0","0.0","  300","  270","18.1","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-02","0.38","0.0","0.0","   60","   60","19.9","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-03","1.10","0.0","0.0","  360","   30","16.1","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-04","0.00","0.0","0.0","  180","  170","15.0","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-05","0.00","0.0","0.0","  180","  180","25.1","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-06","0.39","0.0","0.0","  330","  330","40.0","52.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-07","0.00","0.0","0.0","  190","  180","18.1","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-08","0.32","0.0","0.0","  180","  180","21.9","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-09","0.99","0.0","0.0","  320","  320","32.0","40.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-10","0.00","0.0","0.0","   30","   20","15.0","19.0"
